Title,Organization,RFP_No,Contract_Val,Contract_Type,Service,Comp_Type,NAICS,Priority
PM MC UNIFIED FIELD SUPPORT SERVICES,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W15P7T15R0002,490000,Cost Plus Fixed Fee,Information Technology,Small Bus Set-Aside,541512,1
POLICY AND STATISTICAL ANALYSIS SERVICES,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HT001114R0018,26629,Firm Fixed Price,Planning & Analysis,Full and Open / Unrestricted,541690,1
PORTFOLIO MANAGEMENT AND INFORMATION TECHNOLOGY INVESTMENT STRATEGIES SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,RFQ766495,36663,Labor Hour,Portfolio Management,Small Bus Set-Aside,541611,2
PORTFOLIO MANAGEMENT CHIEF INFORMATION OFFICER GOVERNANCE SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,HTC71113ZD02,36662,TBD,"Management, Scientific, and Technical Consulting Services",Undetermined,541611,1
PRODUCT MANAGER SOLDIER WEAPONS TECHNICAL ENGINEERING SERVICES,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W15QKN12RF011,9900,Firm Fixed Price,Program/Project Management,Service Disabled Veteran Owned Small Business,541330,2
PROFESSIONAL ANALYSIS AND SUPPORT SERVICES SOLUTION,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018913RXXXX,0,Cost Plus Fixed Fee,Administrative / Logistics / Support,Undetermined,541990,1
PROFESSIONAL AND ADMINISTRATIVE SUPPORT SERVICES,ARMY/NATIONAL GUARD BUREAU,W912JB12R4001,100000,Cost Reimbursement,Program/Project Management,Undetermined,541618,2
PROFESSIONAL AND ADMINISTRATIVE SUPPORT SERVICES CONTRACT ENGINEERING SUPPORT SCHEDULE I,ARMY/NATIONAL GUARD BUREAU,TBD,80000,Firm Fixed Price,Professional Services,Service Disabled Veteran Owned Small Business,541330,1
PROFESSIONAL AND EXECUTIVE LEVEL MISSION SUPPORT SERVICES FOR WHS OSD AND POTENTIALLY OTHER DOD OFFICES SUPPORTED BY WHS APO,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,100000,Firm Fixed Price,Professional Services,Undetermined,541611,2
PROFESSIONAL BUSINESS ANALYSIS ADVISORY AND ASSISTANCE SUPPORT,DEFENSE,D12PS00317,17879,Firm Fixed Price,Management Consulting,Service Disabled Veteran Owned Small Business,561110,1
PROFESSIONAL BUSINESS ANALYSIS ADVISORY AND ASSISTANCE SUPPORT SERVICES TO THE TASK FORCE FOR BUSINESS AND STABILITY OPERATIONS IN AFGHANISTAN,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003412SMS201205100136,0,TBD,Business Operations / BPO,Undetermined,541611,1
PROFESSIONAL SERVICES  PROGRAM MGMT ENGINEERING LOGISTICS AND FINANCIAL MGMT,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,,45000,Cost Plus Fixed Fee,IT Professional Services,Full and Open / Unrestricted,541611,2
PROFESSIONAL SERVICES PROGRAM MANAGEMENT SUPPORT,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,,3000,Firm Fixed Price,Information Technology,Small Bus Set-Aside,541611,1
PROFESSIONAL SUPPORT SERVICES DLA DISTRIBUTION NEW CUMBERLAND PA 17070,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330013R0015,3863,Firm Fixed Price,Program/Project Management,Small Bus Set-Aside,541611,5
PROFESSIONAL SUPPORT SERVICES FOR DAPS CUSTOMER SATISFACTION SURVEY,DEFENSE/DEFENSE LOGISTICS AGENCY,SA470510Q0116,0,Firm Fixed Price,Professional Services,Undetermined,541910,1
PROFESSIONAL SUPPORT SERVICES FOR ROBINS AFB,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA852309R25400,3542,Cost Reimbursement,Management Consulting,8(a) Set-Aside,541611,1
PROFESSIONAL SUPPORT SERVICES FOR THE PROGRAM EXECUTIVE OFFICE OF SHIPS FO,"NAVY/ASST SEC OF THE NAVY (RESEARCH, DEVELOPMENT AND ACQUISITION)",N0002414R3169,0,Cost Plus Incentive Fee,Professional Services,Full and Open / Unrestricted,541330,2
PROFESSIONAL TECHNICAL ADMINISTRATIVE AND MANAGEMENT SERVICES,TRANSPORTATION/FEDERAL AVIATION ADMINISTRATION,,6500,Firm Fixed Price,Management Consulting,Small Bus Set-Aside,541611,1
PROFESSIONAL TECHNICAL AND ADMINISTRATIVE SERVICES IN SUPPORT OF THE CHIEF OF NAVAL OPERATIONS FLEET READINESS DIVISION N43,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018913RZ038,13082,Cost Plus Fixed Fee,Administrative / Logistics / Support,Full and Open / Unrestricted,541990,5
PROFESSIONAL TECHNICAL AND ADMINISTRATIVE SUPPORT SERVICES FOR DEPUTY CHIEF OF NAVAL OPERATIONS AND CHIEF OF NAVAL PERSONNEL,NAVY/CHIEF OF NAVAL OPERATIONS,N0018914RZ020,140354,Cost Plus Fixed Fee,IT Professional Services,Full and Open / Unrestricted,541611,2
PROFESSIONAL TECHNICAL SUPPORT FOR DEFENSE DISTRIBUTION CENTER,DEFENSE/DEFENSE LOGISTICS AGENCY,,12632,Blanket Purchase Agreement,IT Professional Services,Other,611430,3
PROGRAM AND ACQUISITION SUPPORT SERVICES,ARMY,W911W412R0001,0,TBD,Administrative / Logistics / Support,Undetermined,,2
PROGRAM AND SYSTEMS SUPPORT FULL AND OPEN,NAVY/NAVAL AIR SYSTEMS COMMAND,W15QKN14R0006,495737,Cost Plus Fixed Fee,Program/Project Management,Full and Open / Unrestricted,541330,1
PROGRAM AND SYSTEMS SUPPORT SMALL BUSINESS,NAVY/NAVAL AIR SYSTEMS COMMAND,W15QKN14R0005,493000,Cost Plus Fixed Fee,"Management, Scientific, and Technical Consulting Services",Small Bus Set-Aside,541330,3
PROGRAM MANAGEMENT ADMINISTRATIVE CLERICAL AND TECHNICAL SERVICES,HOMELAND SECURITY/DIRECTORATE FOR MANAGEMENT,HSHQDC14R00009,1500000,Firm Fixed Price,Administrative / Logistics / Support,Service Disabled Veteran Owned Small Business,541611,5
PROGRAM MANAGEMENT ADMINISTRATIVE CLERICAL AND TECHNICAL SERVICES FOR DHS,HOMELAND SECURITY,HSHQDC08R000A38,1500000,Firm Fixed Price,Administrative / Logistics / Support,Service Disabled Veteran Owned Small Business,541611,3
PROGRAM MANAGEMENT ANALYSIS AND PROCESS IMPROVEMENT SUPPORT,NAVY/SPACE AND NAVAL WARFARE SYSTEMS COMMAND,N0002412R3257,6133,Firm Fixed Price,Professional Services,Other,541330,1
PROGRAM MANAGEMENT AND ANALYTICAL SUPPORT FOR THE OFFICE OF INFRASTRUCTURE PROTECTION PROTECTIVE SECURITY COORDINATION DIVISION,HOMELAND SECURITY/NATIONAL PROTECTION AND PROGRAMS DIRECTORATE,HSHQDC14R00004,50000,Firm Fixed Price,Program/Project Management,Full and Open / Unrestricted,541611,1
PROGRAM MANAGEMENT AND DEVELOPMENT SUPPORT,CENTRAL INTELLIGENCE AGENCY/CHIEF INFORMATION OFFICER,,0,Indefinite Delivery Indefinite Quantity,IT Professional Services,Full and Open / Unrestricted,,2
PROGRAM MANAGEMENT CLOSE COMBAT SYSTEM SUPPORT,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W15QKN12RB029,21754,Firm Fixed Price,Information Technology,8(a) Set-Aside,541611,1
PROGRAM MANAGEMENT ENGINEERING ACQUISITION SUPPORT,DEFENSE/US STRATEGIC COMMAND,FA460013R0002,75500,Cost Reimbursement,Professional Services,Small Bus Set-Aside,541611,2
PROGRAM MANAGEMENT KNOWLEDGE MANAGEMENT ADMINISTRATIVE AND SURVEY SERVICES,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003412R3110,60000,Indefinite Delivery Indefinite Quantity,Program/Project Management,Full and Open / Unrestricted,541611,5
PROGRAM MANAGEMENT OFFICE SERVICES FOR INTELLIGENT TRANSPORTATION SYSTEMS PROGRAM,TRANSPORTATION/RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,DTFH6114R00002,17238,Firm Fixed Price with Level of Effort,Program/Project Management,Full and Open / Unrestricted,541611,1
PROGRAM MANAGEMENT OPERATIONAL SUPPORT FOR DOD BIOMETRICS,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W15QKN14R0036,3872,TBD,Program/Project Management,"8(a) Set-Aside,Sole Source",541519,1
PROGRAM MANAGEMENT OVERSIGHT SUPPORT FOR THE COMMANDER NAVAL INSTALLATIONS COMMAND HEADQUARTERS AND OPNAV,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018914RZ025,477956,Cost Plus Fixed Fee,Program/Project Management,Full and Open / Unrestricted,541611,1
PROGRAM MANAGEMENT SUPPORT FOR FACILITY TECHNICAL PROFICIENCY EVALUATIONS AND SWS AWS WEEK PROGRAMS,NAVY/STRATEGIC SYSTEMS PROGRAMS,N0003012R0008,662,Firm Fixed Price,Management Consulting,Small Bus Set-Aside,541618,2
"PROGRAM MANAGEMENT SUPPORT HQMC, I&L DEPARTMENT LOGISTICS PLANS, POLICIES AND STRATEGIC MOBILITY DIVISION LOGISTICS DISTRIBUTION POLICY BRANCH",MARINE CORPS/MARINE CORPS SYSTEMS COMMAND,,12000,Cost Plus Fixed Fee,Information Technology,8(a) Set-Aside,541611,1
PROGRAM MANAGEMENT SUPPORT SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,RFQ567004,206000,Blanket Purchase Agreement,Administrative / Logistics / Support,Other,541611,5
PROGRAM MANAGEMENT SUPPORT SERVICES,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA805212R0015,0,Cost Reimbursement,Health Care & Medical Services,Woman Owned Small Business Set Aside,541690,1
PROGRAM MANAGEMENT SUPPORT SERVICES 3,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W52P1J11R0059,461000,Cost Reimbursement,Information Technology,"Small Bus Set-Aside,Full and Open / Unrestricted",541611,5
PROGRAM MANAGEMENT SUPPORT SERVICES FOR CRUISE MISSILES COMMAND AND CONTROL PROGRAM,NAVY/NAVAL AIR SYSTEMS COMMAND,N0002413R3157,52946,Cost Plus Fixed Fee,Program/Project Management,Small Bus Set-Aside,541330,1
PROGRAM MANAGEMENT SUPPORT TO THE NAVSUP CSA WITH THE NAVSUP RESEARCH AND DEVELOPMENT PROGRAM,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,,2116,Cost Plus Fixed Fee,Program/Project Management,Full and Open / Unrestricted,541330,1
PROGRAM SUPPORT FOR THE BUSINESS OPERATIONS DEPARTMENT,NAVY/NAVAL SEA SYSTEMS COMMAND,N0002412R3266,8889,Task Order,Professional Services,Other,541330,1
PROGRAM SUPPORT FOR THE OIP CONTINGENCY PLANNING PROGRAM,HOMELAND SECURITY/NATIONAL PROTECTION AND PROGRAMS DIRECTORATE,HSHQDC14Q000181,5000,TBD,Program/Project Management,Service Disabled Veteran Owned Small Business,541611,1
PROGRAMMATIC OPERATIONAL ACADEMIC RESEARCH ANALYTICAL EVENT AND TECHNICAL SUPPORT SERVICES AS REQUIRED TO SUPPORT NATIONAL DEFENSE UNIVERSITY NDU OR OTHER GOVERNMENT AGENCIES IN THEIR EFFORTS,NAVY/NAVAL SEA SYSTEMS COMMAND,N0017411SN008,0,TBD,Professional Services,Undetermined,541990,1
PROGRAMS AND RESOURCES INFORMATION MANAGEMENT SUPPORT,MARINE CORPS/PROGRAMS AND RESOURCES,TBD,23000,Cost Plus Fixed Fee,IT Professional Services,Full and Open / Unrestricted,541990,3
PROJECT GEOANALYTICS,DEFENSE/NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,NGAProijectGeoAnalytics,0,TBD,Research & Development,Undetermined,541370,1
PROJECT MANAGEMENT AND TRAINING SERVICES DEPUTY ASSISTANT SECRETARY OF DEFENSE FOR DEVELOPMENTAL TEST AND EVALUATION,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,,11900,Firm Fixed Price,Program/Project Management,Full and Open / Unrestricted,541611,4
PROVIDING ENGINEERING SUPPORT IN THE AREA OF AMMUNITION LOGISTICS TO ARDECS ESIC PACKAGING AND PALLETIZATION FIELD SUPPORT BRANCH LOCATED ON ROCK ISLAND ARSENAL,ARMY/ARMY MATERIEL COMMAND,SS070908,0,TBD,Administrative / Logistics / Support,Undetermined,,4
RAPID INNOVATION FUND UMBRELLA,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,500000,TBD,IT Professional Services,Undetermined,,2
RAPID PROTOTYPING AND TECHNOLOGY INITIATIVE GENERATION TWO FULL AND OPEN,ARMY/ARMY MATERIEL COMMAND,W15QKN14R0008,300000,Cost Plus Fixed Fee,Research & Development,Full and Open / Unrestricted,541330,1
REPORT ON THE ENVIRONMENT PROGRAM,ENVIRONMENTAL PROTECTION AGENCY/RESEARCH AND DEVELOPMENT,,3556,Cost Plus Fixed Fee,"Management, Scientific, and Technical Consulting Services",Full and Open / Unrestricted,541620,5
REQUIREMENTS ANALYSIS COMPREHENSIVE SERVICES ENTERPRISE SYSTEMS MANAGEMENT,VETERANS AFFAIRS/VETERANS HEALTH ADMINISTRATION,VA70112Q0144,34542,Blanket Purchase Agreement,Management Consulting,Other,541611,1
REQUIREMENTS ANALYSIS SUPPORT SERVICES,DEFENSE/US TRANSPORTATION COMMAND,,1400,Firm Fixed Price,Professional Services,Full and Open / Unrestricted,,2
REQUIREMENTS INTEGRATION AND PROCESS IMPROVEMENT TEAM,AIR FORCE/AIR FORCE MATERIEL COMMAND,,23883,Firm Fixed Price,Project Management,"Full and Open / Unrestricted,Other",541611,2
RESEARCH AND DEVELOPMENT,ARMY/ARMY MATERIEL COMMAND,,0,Indefinite Delivery Indefinite Quantity,Research & Development,Undetermined,541712,1
RESEARCH AND DEVELOPMENT FOR DLA SUPPLY SUPPORT,DEFENSE/DEFENSE LOGISTICS AGENCY,BAA000109,35000,Cost Plus Fixed Fee,Research & Development,Full and Open / Unrestricted,541712,1
RESEARCH AND DEVELOPMENT SUPPORT TO THE INFORMATION TECHNOLOGY DIVISION,NAVY/OFFICE OF NAVAL RESEARCH,N0017314RRV01,245000,Cost Plus Fixed Fee,Research & Development,"Small Bus Set-Aside,Full and Open / Unrestricted",541712,1
RESEARCH AND DEVEOPMENT FOR DLA SUPPLY SUPPORT II,DEFENSE/DEFENSE LOGISTICS AGENCY,BAA000114,50000,Cost Plus Fixed Fee,Research & Development,Full and Open / Unrestricted,541712,4
RESEARCH AND INNOVATIVE TECHNICAL ANALYSIS PROFESSIONAL SERVICES,MARINE CORPS/MARINE CORPS COMBAT DEVELOPMENT COMMAND,M0026414R0005,60000,Firm Fixed Price,Modeling / Simulation,Full and Open / Unrestricted,541330,3
RESERVE COMPONENT MANPOWER SYSTEM SUPPORT,ARMY/NATIONAL GUARD BUREAU,RFI13R0032,55831,Task Order,IT Professional Services,Small Bus Set-Aside,541511,1
RESPONSIVE STRATEGIC SOURCING FOR SERVICES,ARMY/ARMY MATERIEL COMMAND,W15P7T14R0016,0,Cost Reimbursement,IT Professional Services,"Small Bus Set-Aside,Full and Open / Unrestricted",541330,5
SAP PRODUCT SUITE APPLICATION SOFTWARE MAINTENANCE,DEFENSE/DEFENSE LOGISTICS AGENCY,,1109,Task Order,Software Support,Undetermined,541511,2
SCIENCE AND TECHNOLOGY INTEGRATION AND FUNCTIONAL ANALYSIS SUPPORT,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",,11018,Firm Fixed Price,Planning & Analysis,Undetermined,541690,1
SCIENTIFIC ENGINEERING AND TECHNICAL ASSISTANCE TO THE DHS RESEARCH DEVELOPMENT TECHNOLOGY RESPONSE COMMUNITY FOR THE SCIENCE AND TECHNOLOGY DIRECTORATE,HOMELAND SECURITY/SCIENCE AND TECHNOLOGY DIRECTORATE,HSHQDC12R00033,236000,Cost Reimbursement,IT Professional Services,Full and Open / Unrestricted,541611,1
SECTION 508 COMPLIANCE TESTING AND MONITORING SOFTWARE,SOCIAL SECURITY ADMINISTRATION/BUDGET FINANCE AND MANAGEMENT,TBD,366,Firm Fixed Price,IT Professional Services,Small Bus Set-Aside,511210,5
SECURITY INFORMATION MANAGER ENGINEERING SUPPORT SERVICES,DEFENSE/DEFENSE INFORMATION SYSTEMS AGENCY,HC102811R2032,8332,Firm Fixed Price,System Design and Architecture,Service Disabled Veteran Owned Small Business,541512,4
SENIOR EXECUTIVE LEVEL STAFF CONSULTANT FOR THE AIR FORCE DEPUTY CHIEF OF STAFF,AIR FORCE/AIR FORCE DISTRICT OF WASHINGTON,FA701412R1005,1201,Firm Fixed Price,Management Consulting,Service Disabled Veteran Owned Small Business,541611,1
SENIOR PROGRAM AND PROJECT MANAGEMENT INFORMATION TECHNOLOGY CONSULTING SERVICES SUPPORT,DEFENSE/DEFENSE INFORMATION SYSTEMS AGENCY,,29740,Cost Reimbursement,Program/Project Management,Small Bus Set-Aside,541519,1
SERVICE CENTER OPERATIONS SUPPORT,HOMELAND SECURITY/US CITIZENSHIP AND IMMIGRATION SERVICES,HSSCCG14R00027,40000,Firm Fixed Price,Professional Services,Service Disabled Veteran Owned Small Business,561110,2
SIMULATIONS AND TRAINING ENGINEERING SERVICES SUPPORT,ARMY/ARMY MATERIEL COMMAND,W911NF14R0002,135000,Cost Plus Fixed Fee,Education and Training,Small Bus Set-Aside,541712,5
SINGLE ARMY LOGISTICS ENTERPRISE MISSION FOR THE ARMY SUSTAINMENT COMMAND,ARMY/ARMY MATERIEL COMMAND,W52P1J11R0170,1973,Cost Plus Fixed Fee,Information Technology,Small Bus Set-Aside,541614,4
SOCOM WIDE MISSION SUPPORT,DEFENSE/US SPECIAL OPERATIONS COMMAND,,734000,Cost Plus Award Term,Business Operations / BPO,"Small Bus Set-Aside,Full and Open / Unrestricted",541611,1
SOCOM WIDE MISSION SUPPORT GROUP A,DEFENSE/US SPECIAL OPERATIONS COMMAND,H9222214R0020,404000,Cost Plus Award Term,"Management, Scientific, and Technical Consulting Services",Full and Open / Unrestricted,541611,1
SOCOM WIDE MISSION SUPPORT GROUP B,DEFENSE/US SPECIAL OPERATIONS COMMAND,H9222214R0021,259000,Cost Plus Award Term,Administrative / Logistics / Support,Small Bus Set-Aside,541611,2
SOFTWARE AND SYSTEMS ENGINEERING SERVICES NEXT GENERATION,ARMY/ARMY MATERIEL COMMAND,W15P7T12RC005,7000000,Cost Plus Fixed Fee,IT Professional Services,Other,541511,5
SOLUTIONS FOR INTELLIGENCE ANALYSIS SUPPORT II,DEFENSE/DEFENSE INTELLIGENCE AGENCY,HHM40211R0114,5600000,Cost Plus Fixed Fee,Management Consulting,Full and Open / Unrestricted,541990,3
SOLUTIONS FOR INTELLIGENCE RAPID TECHNICAL COLLECTIONS SUPPORT,DEFENSE/DEFENSE INTELLIGENCE AGENCY,,0,Indefinite Delivery Indefinite Quantity,Engineering / Scientific,Full and Open / Unrestricted,541712,1
SOLUTIONS FOR THE INFORMATION TECHNOLOGY ENTERPRISE,DEFENSE/DEFENSE INTELLIGENCE AGENCY,HHM40209R0050UPDATE,6600000,Cost Plus Fixed Fee,Systems Integration,Other,541519,4
SPECIAL ACCESS PROGRAM SUPPORT FOR THE JOINT CHIEFS OF STAFF,DEFENSE/JOINT CHIEFS OF STAFF,,11250,Cost Reimbursement,Administrative / Logistics / Support,Undetermined,541611,1
SPECIALIZED SUPPORT FOR STRATEGIC ALIGNMENT AND DEPLOYMENT INITIATIVES,AIR FORCE/AIR FORCE MATERIEL COMMAND,,0,TBD,"Management, Scientific, and Technical Consulting Services",Undetermined,541611,1
SPR PROGRAM ANALYTICAL AND TECHNICAL SUPPORT,ENERGY/STRATEGIC PETROLEUM RESERVE,DESOL0006020,15954,Firm Fixed Price,Engineering / Scientific,Small Bus Set-Aside,541330,2
STORM IT,AIR FORCE/OFFICE OF THE SECRETARY OF THE AIR FORCE,F1AF182220A0001,0,Firm Fixed Price,System Design and Architecture,"Full and Open / Unrestricted,Other",541512,1
STRATEGIC AND FUNCTIONAL SUPPORT FOR AIR FORCE LOGISTICS TRANSFORMATION OFFICE,AIR FORCE/OFFICE OF THE SECRETARY OF THE AIR FORCE,,82100,Cost Reimbursement,Administrative / Logistics / Support,8(a) Set-Aside,541611,1
STRATEGIC AND PROGRAMMATIC SUPPORT SERVICES FOR THE ADVANCED PROGRAM MANAGEMENT RESOURCES DIVISION,NAVY/SPACE AND NAVAL WARFARE SYSTEMS COMMAND,,3866,Cost Plus Fixed Fee,Defense & Aerospace,Small Bus Set-Aside,541330,1
STRATEGIC BUSINESS ANALYSIS SERVICES,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018914RZ014,0,Cost Plus Fixed Fee,Professional Services,Full and Open / Unrestricted,541618,2
STRATEGIC COMMUNICATIONS AND PUBLIC LIASON SUPPORT,ARMY/ARMY MATERIEL COMMAND,TBD,1074,Firm Fixed Price,Planning & Analysis,Undetermined,541611,5
STRATEGIC INSTRUMENTATION,DEFENSE/DEFENSE LOGISTICS AGENCY,SPM4A611INSTRUMENTS334511,0,TBD,Professional Services,Undetermined,334511,1
STRATEGIC MANAGEMENT SUPPORT SERVICES,HOMELAND SECURITY/TRANSPORTATION SECURITY ADMINISTRATION,,0,Firm Fixed Price,Administrative / Logistics / Support,Other,541611,1
STRATEGIC PLANNING AND SYSTEMS INTEGRATION FOR USTRANSCOM,DEFENSE/US TRANSPORTATION COMMAND,HTC71107R0005,250000,Firm Fixed Price,IT Professional Services,Other,541611,2
STRATEGY CONCEPTS WARGAMES EXPERIMENTATION AND CENTER OF EXCELLENCE GOVERNANCE,DEFENSE/US TRANSPORTATION COMMAND,HTC71112QD048,25000,Firm Fixed Price,Outsourcing,Other,541614,1
SUPPLY CHAIN MANAGEMENT AND LOGISTICS SUPPORT,NAVY/NAVAL SEA SYSTEMS COMMAND,,30416,Cost Plus Fixed Fee,Administrative / Logistics / Support,Undetermined,541330,1
SUPPLY CHAIN MANAGEMENT LETTERKENNY ARMY DEPOT,DEFENSE/DEFENSE LOGISTICS AGENCY,,275000,Fixed Price with Economic Price Adjustment,Administrative / Logistics / Support,Undetermined,561990,1
SUPPLY CHAIN SERVICES FOR THE RAPID FIELDING INITIATIVE,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",,434605,Time and Materials,Management Consulting,Full and Open / Unrestricted,541618,1
SUPPORT FOR THE DEFENSE SCIENCE AND TECHNOLGY GROUP RELIANCE 21 PROCESS,NAVY/OFFICE OF NAVAL RESEARCH,,1307,Cost Plus Fixed Fee,Engineering / Scientific,Full and Open / Unrestricted,541330,1
SUPPORT PLANNING INTEGRATED DATA ENTERPRISE READINESS SYSTEM SUSTAINMENT SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,,13033,Firm Fixed Price,Planning & Analysis,Other,511210,1
SUPPORT SERVICES FOR STRATEGIC PLANNING ANALYSIS AND IMPLEMENTATION FOR THE CBP OFFICE OF FIELD OPERATIONS,HOMELAND SECURITY/CUSTOMS AND BORDER PROTECTION,201301695,10000,Task Order,Management Consulting,Service Disabled Veteran Owned Small Business,541611,3
SUPPORT SERVICES FOR THE OFFICE OF OPERATIONAL PROCESS AND PERFORMANCE METRICS,HOMELAND SECURITY/TRANSPORTATION SECURITY ADMINISTRATION,201202538,10000,Task Order,Professional Services,Other,541611,5
SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND GLOBAL AIR TRANSPORTATION EXECUTION SYSTEM SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,,25000,Firm Fixed Price,IT Professional Services,Undetermined,541511,5
SUSTAINMENT RISK ASSESSMENT PROCESS,DEFENSE/DEFENSE LOGISTICS AGENCY,RFI002611,0,TBD,Administrative / Business Tools,Undetermined,541611,3
SYSTEM ENGINEERING AND TECHNICAL ASSISTANCE FOR THE C4IT CENTER,HOMELAND SECURITY/US COAST GUARD,,0,TBD,Engineering / Scientific,Undetermined,,1
SYSTEM ENGINEERING AND TECHNICAL ASSISTANCE IN SUPPORT OF THE US COAST GUARD RESEARCH AND DEVELOPMENT CENTER,HOMELAND SECURITY/US COAST GUARD,HSCG3212RR00004,39792,Cost Plus Fixed Fee,Engineering / Scientific,Full and Open / Unrestricted,541330,1
SYSTEM ENGINEERING SERVICES FOR CERDEC,ARMY/ARMY MATERIEL COMMAND,W15P7T13RA503,3000,Cost Plus Fixed Fee,"Management, Scientific, and Technical Consulting Services",Undetermined,541512,1
SYSTEM INTEGRATOR PROFESSIONAL SERVICES FOR THE PURCHASE CARD ONLINE SYSTEM DATA MINING APPLICATION,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HC102813R0039,49240,Firm Fixed Price,Data Warehousing / Data Mining,Full and Open / Unrestricted,541511,1
SYSTEMS DESIGN AND  DEVELOPMENT SUPPORT AND INTEGRATION,NAVY/OFFICE OF NAVAL RESEARCH,,246019,Indefinite Delivery Indefinite Quantity,Research & Development,Small Bus Set-Aside,541712,1
SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE,HOMELAND SECURITY/FEDERAL EMERGENCY MANAGEMENT AGENCY,,0,Firm Fixed Price,IT Professional Services,Small Bus Set-Aside,541512,2
SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE AND OPERATIONAL SUPPORT TASKS,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",RFIMRC0533,0,TBD,Engineering / Scientific,Other,541330,1
TACOM STRATEGIC SERVICE SOLUTIONS EQUIPMENT RELATED SERVICES,ARMY/ARMY MATERIEL COMMAND,W56HZV14R0031,1100000,Firm Fixed Price,Maintenance Support Services,"Small Bus Set-Aside,Full and Open / Unrestricted",811111,1
TACOM STRATEGIC SERVICE SOLUTIONS RESEARCH AND DEVELOPMENT,ARMY/ARMY MATERIEL COMMAND,W56HZV14R0032,634000,Firm Fixed Price,Research & Development,"Small Bus Set-Aside,Full and Open / Unrestricted",541712,2
TACOM STRATEGIC SERVICE SOLUTIONS UMBRELLA PROGRAM,ARMY/ARMY MATERIEL COMMAND,W56HZV13R0095,3500000,Indefinite Delivery Indefinite Quantity,Engineering / Scientific,"Small Bus Set-Aside,Full and Open / Unrestricted",541330,1
TACTICAL SYSTEMS SUPPORT PROFESSIONAL ENGINEERING SERVICES,MARINE CORPS,M6890913Q7614,28872,Cost Plus Fixed Fee,IT Professional Services,Full and Open / Unrestricted,541512,1
TACTICAL TECHNOLOGY OFFICE  SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE  SERVICES,DEFENSE/DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,,22000,Cost Plus Award Fee,IT Professional Services,Full and Open / Unrestricted,541690,2
TECHNICAL  ANALYTICAL SUPPORT SERVICES USCG COUNTERINTELLIGENCE SERVICE,HOMELAND SECURITY/US COAST GUARD,,11000,Blanket Purchase Agreement,Administrative / Logistics / Support,Other,541611,4
TECHNICAL ANALYTICAL AND FINANCIAL SERVICES FOR THE DIRECTORATE OF JOINT AND FUTURES AND DIRECTORATE OF INTEGRATION,ARMY/CHIEF OF STAFF OF THE ARMY,W91WAW12R0039,12768,Cost Plus Fixed Fee,"Management, Scientific, and Technical Consulting Services",Small Bus Set-Aside,541611,2
TECHNICAL ANALYTICAL AND FINANCIAL SERVICES FOR THE DIRECTORATE OF MATERIEL AND DIRECTORATE OF RESOURCES,ARMY/CHIEF OF STAFF OF THE ARMY,W91CRB14R0020,17000,Cost Plus Fixed Fee,Administrative / Logistics / Support,Undetermined,541611,4
